boloname  pixelname  wafer  pair  pixel  az   el   polang   poleff   sigma_x   sigma_y   beam_theta 
10.2_83t  10.2_83  10.2  t  83  0.216101  -0.224578  15.000257  1.000000  3.500000  3.500000  0.000000
10.2_83b  10.2_83  10.2  b  83  0.216101  -0.224578  105.000009  1.000000  3.500000  3.500000  0.000000
10.2_84t  10.2_84  10.2  t  84  0.172881  -0.299438  59.999790  1.000000  3.500000  3.500000  0.000000
10.2_84b  10.2_84  10.2  b  84  0.172881  -0.299438  150.000000  1.000000  3.500000  3.500000  0.000000
10.2_85t  10.2_85  10.2  t  85  0.129661  -0.374297  15.000257  1.000000  3.500000  3.500000  0.000000
10.2_85b  10.2_85  10.2  b  85  0.129661  -0.374297  105.000009  1.000000  3.500000  3.500000  0.000000
10.2_86t  10.2_86  10.2  t  86  0.432201  -0.000000  15.000257  1.000000  3.500000  3.500000  0.000000
10.2_86b  10.2_86  10.2  b  86  0.432201  -0.000000  105.000009  1.000000  3.500000  3.500000  0.000000
10.2_87t  10.2_87  10.2  t  87  0.388981  -0.074860  59.999790  1.000000  3.500000  3.500000  0.000000
10.2_87b  10.2_87  10.2  b  87  0.388981  -0.074860  150.000000  1.000000  3.500000  3.500000  0.000000
10.2_88t  10.2_88  10.2  t  88  0.345761  -0.149719  15.000257  1.000000  3.500000  3.500000  0.000000
10.2_88b  10.2_88  10.2  b  88  0.345761  -0.149719  105.000009  1.000000  3.500000  3.500000  0.000000
10.2_89t  10.2_89  10.2  t  89  0.302541  -0.224578  59.999790  1.000000  3.500000  3.500000  0.000000
10.2_89b  10.2_89  10.2  b  89  0.302541  -0.224578  150.000000  1.000000  3.500000  3.500000  0.000000
10.2_90t  10.2_90  10.2  t  90  0.259321  -0.299438  15.000257  1.000000  3.500000  3.500000  0.000000
10.2_90b  10.2_90  10.2  b  90  0.259321  -0.299438  105.000009  1.000000  3.500000  3.500000  0.000000
10.2_91t  10.2_91  10.2  t  91  0.216101  -0.374297  59.999790  1.000000  3.500000  3.500000  0.000000
10.2_91b  10.2_91  10.2  b  91  0.216101  -0.374297  150.000000  1.000000  3.500000  3.500000  0.000000
10.4_1t  10.4_1  10.4  t  1  0.216101  1.356640  -0.000210  1.000000  3.500000  3.500000  0.000000
10.4_1b  10.4_1  10.4  b  1  0.216101  1.356640  90.000000  1.000000  3.500000  3.500000  0.000000
10.4_2t  10.4_2  10.4  t  2  0.129660  1.356640  -44.999743  1.000000  3.500000  3.500000  0.000000
10.4_2b  10.4_2  10.4  b  2  0.129660  1.356640  45.000009  1.000000  3.500000  3.500000  0.000000
10.4_3t  10.4_3  10.4  t  3  0.043220  1.356640  -0.000210  1.000000  3.500000  3.500000  0.000000
10.4_3b  10.4_3  10.4  b  3  0.043220  1.356640  90.000000  1.000000  3.500000  3.500000  0.000000
10.4_4t  10.4_4  10.4  t  4  -0.043220  1.356640  -44.999743  1.000000  3.500000  3.500000  0.000000
